open_position_time	option_type	pnl_15747	pnl_15776	delta
2023-11-01 08:00:00	short	0.00000000	0.00000000	0.00000000
2023-11-02 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-11-02 12:00:00	short	0.00000000	0.00000000	0.00000000
2023-11-06 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-11-07 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-11-09 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-11-09 08:00:00	long	0.00000000	0.00000000	0.00000000
2023-11-09 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-11-12 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-11-13 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-11-20 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-11-20 12:00:00	long	0.00000000	0.00000000	0.00000000
2023-11-20 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-11-21 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-11-25 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-11-27 08:00:00	short	0.00000000	0.00000000	0.00000000
2023-11-28 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-01 08:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-08 12:00:00	short	0.00000000	0.00000000	0.00000000
2023-12-09 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-12-11 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-12-11 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-12-12 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-13 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-13 12:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-15 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-16 08:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-17 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-18 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-18 08:00:00	short	0.00000000	0.00000000	0.00000000
2023-12-20 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-21 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-21 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-23 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-12-27 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-12-29 16:00:00	long	0.00000000	0.00000000	0.00000000
2024-01-01 08:00:00	short	0.00000000	0.00000000	0.00000000
2024-01-07 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-01-08 04:00:00	long	0.00000000	0.00000000	0.00000000
2024-01-08 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-01-12 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-01-20 00:00:00	long	0.00000000	0.00000000	0.00000000
2024-01-22 04:00:00	short	0.00000000	0.00000000	0.00000000
2024-01-25 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-01-29 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-02-04 16:00:00	long	0.00000000	0.00000000	0.00000000
2024-02-05 08:00:00	long	0.00000000	0.00000000	0.00000000
2024-02-05 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-02-06 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-02-07 08:00:00	short	0.00000000	0.00000000	0.00000000
2024-02-09 16:00:00	long	0.00000000	0.00000000	0.00000000
2024-02-10 00:00:00	short	0.00000000	0.00000000	0.00000000
2024-02-12 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-02-18 16:00:00	short	0.00000000	0.00000000	0.00000000
2024-02-19 08:00:00	long	0.00000000	0.00000000	0.00000000
2024-02-20 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-02-23 04:00:00	short	0.00000000	0.00000000	0.00000000
2024-02-26 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-02-28 16:00:00	short	0.00000000	0.00000000	0.00000000
2024-03-04 16:00:00	short	0.00000000	0.00000000	0.00000000
2024-03-06 12:00:00	long	0.00000000	0.00000000	0.00000000
2024-03-08 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-03-11 12:00:00	long	0.00000000	0.00000000	0.00000000
2024-03-13 12:00:00	short	0.00000000	0.00000000	0.00000000
2024-03-13 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-03-15 04:00:00	long	0.00000000	0.00000000	0.00000000
2024-03-15 08:00:00	short	0.00000000	0.00000000	0.00000000
2024-03-17 08:00:00	long	0.00000000	0.00000000	0.00000000
2024-03-17 16:00:00	long	0.00000000	0.00000000	0.00000000
2024-03-18 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-03-20 12:00:00	long	0.00000000	0.00000000	0.00000000
2024-03-28 00:00:00	short	0.00000000	0.00000000	0.00000000
2024-03-28 12:00:00	long	0.00000000	0.00000000	0.00000000
2024-03-30 16:00:00	long	0.00000000	0.00000000	0.00000000
2024-03-31 08:00:00	long	0.00000000	0.00000000	0.00000000
2024-03-31 12:00:00	long	0.00000000	0.00000000	0.00000000
2024-04-05 08:00:00	long	0.00000000	0.00000000	0.00000000
2024-04-10 00:00:00	long	0.00000000	0.00000000	0.00000000
2024-04-11 16:00:00	short	0.00000000	0.00000000	0.00000000
2024-04-12 08:00:00	long	0.00000000	0.00000000	0.00000000
2024-04-16 12:00:00	long	0.00000000	0.00000000	0.00000000
2024-04-16 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-04-23 04:00:00	short	0.00000000	0.00000000	0.00000000
2024-04-24 16:00:00	long	0.00000000	0.00000000	0.00000000
2024-04-24 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-04-27 08:00:00	long	0.00000000	0.00000000	0.00000000
2024-04-30 16:00:00	short	0.00000000	0.00000000	0.00000000
2024-05-03 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-05-04 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-05-05 16:00:00	short	0.00000000	0.00000000	0.00000000
2024-05-06 04:00:00	long	0.00000000	0.00000000	0.00000000
2024-05-06 08:00:00	short	0.00000000	0.00000000	0.00000000
2024-05-06 12:00:00	long	0.00000000	0.00000000	0.00000000
2024-05-06 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-05-09 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-05-13 08:00:00	long	0.00000000	0.00000000	0.00000000
2024-05-13 12:00:00	long	0.00000000	0.00000000	0.00000000
2024-05-23 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-05-27 00:00:00	long	0.00000000	0.00000000	0.00000000
2024-05-27 04:00:00	short	0.00000000	0.00000000	0.00000000
2024-05-27 08:00:00	long	0.00000000	0.00000000	0.00000000
2024-05-31 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-06-09 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-06-10 16:00:00	long	0.00000000	0.00000000	0.00000000
2024-06-10 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-06-15 04:00:00	long	0.00000000	0.00000000	0.00000000
