open_position_time	side_15776	side_15777	pnl_15776	pnl_15777	delta
2023-07-01 00:00:00	long	long	3.55424835	3.67391880	0.11967045
2023-07-06 16:00:00	short	short	13.95023297	14.41993302	0.46970005
2023-07-10 08:00:00	long	long	2.96108709	3.06078598	0.09969889
2023-07-11 00:00:00	long	long	-4.62141043	-4.77701190	-0.15560147
2023-07-12 20:00:00	short	short	-2.25157414	-2.32738395	-0.07580981
2023-07-13 16:00:00	long	long	6.14614022	6.35307887	0.20693865
2023-07-13 20:00:00	long	long	16.90384464	17.47299189	0.56914725
2023-07-18 04:00:00	long	long	-2.43420383	-2.51616272	-0.08195889
2023-07-26 12:00:00	short	short	1.08911055	1.12578057	0.03667002
2023-07-31 08:00:00	long	long	-2.42112285	-2.50264132	-0.08151847
2023-08-01 08:00:00	short	short	-2.53644558	-2.62184692	-0.08540134
2023-08-01 20:00:00	long	long	-0.92809412	-0.95934276	-0.03124864
2023-08-03 12:00:00	short	short	1.11105167	1.14846044	0.03740877
2023-08-04 20:00:00	long	long	-3.80208100	-3.93009590	-0.12801490
2023-08-05 00:00:00	long	long	4.00029865	4.13498747	0.13468882
2023-08-07 20:00:00	long	long	3.55993175	3.67979356	0.11986181
2023-08-10 20:00:00	short	short	2.45844055	2.54121548	0.08277493
2023-08-11 08:00:00	short	short	-1.78879750	-1.84902576	-0.06022826
2023-08-14 04:00:00	short	short	1.60315721	1.65713502	0.05397781
2023-08-17 04:00:00	short	short	4.00808606	4.14303708	0.13495102
2023-08-17 16:00:00	short	short	18.59927599	19.22550789	0.62623190
2023-08-18 08:00:00	short	short	4.83319634	4.99592858	0.16273224
2023-08-21 16:00:00	long	long	-4.89663414	-5.06150231	-0.16486817
2023-08-21 20:00:00	short	short	-5.41295523	-5.59520777	-0.18225254
2023-08-22 20:00:00	short	short	3.90385012	4.03529156	0.13144144
2023-08-23 00:00:00	short	short	-22.08389814	-22.82745619	-0.74355805
2023-08-25 20:00:00	short	short	-2.76387903	-2.85693798	-0.09305895
2023-08-26 00:00:00	short	short	0.45337262	0.46863753	0.01526491
2023-08-28 16:00:00	long	long	4.22849099	4.37086298	0.14237199
2023-08-29 20:00:00	long	long	-1.15114472	-1.18990341	-0.03875869
2023-08-31 16:00:00	short	short	4.17358364	4.31410692	0.14052328
2023-08-31 20:00:00	short	short	15.32920608	15.84533573	0.51612965
2023-09-04 00:00:00	long	long	-0.27294746	-0.28213752	-0.00919006
2023-09-05 04:00:00	long	long	2.74198387	2.83430563	0.09232176
2023-09-06 20:00:00	long	long	2.64140097	2.73033613	0.08893516
2023-09-07 00:00:00	long	long	-2.28910856	-2.36618214	-0.07707358
2023-09-08 16:00:00	short	short	5.54126777	5.72784056	0.18657279
2023-09-16 12:00:00	short	short	1.11281683	1.15028503	0.03746820
2023-09-18 04:00:00	short	short	2.53954986	2.62505573	0.08550587
2023-09-18 08:00:00	short	short	2.07545594	2.14533590	0.06987996
